Time resolution is 1 ps
Time=0 | Reset=1 | Entry Sensor=0 | Exit Sensor=0 | Car Count= 0 | Parking Full=0
Time=250000 | Reset=0 | Entry Sensor=0 | Exit Sensor=0 | Car Count=10 | Parking Full=1
Time=260000 | Reset=0 | Entry Sensor=1 | Exit Sensor=0 | Car Count=10 | Parking Full=1
Time=270000 | Reset=0 | Entry Sensor=0 | Exit Sensor=0 | Car Count=10 | Parking Full=1
Time=280000 | Reset=0 | Entry Sensor=1 | Exit Sensor=0 | Car Count=10 | Parking Full=1
Time=290000 | Reset=0 | Entry Sensor=0 | Exit Sensor=0 | Car Count=10 | Parking Full=1
Time=300000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count=10 | Parking Full=1
Time=305000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 9 | Parking Full=0
Time=310000 | Reset=0 | Entry Sensor=0 | Exit Sensor=0 | Car Count= 9 | Parking Full=0
Time=320000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 9 | Parking Full=0
Time=325000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 8 | Parking Full=0
Time=330000 | Reset=0 | Entry Sensor=0 | Exit Sensor=0 | Car Count= 8 | Parking Full=0
Time=340000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 8 | Parking Full=0
Time=345000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 7 | Parking Full=0
Time=350000 | Reset=0 | Entry Sensor=0 | Exit Sensor=0 | Car Count= 7 | Parking Full=0
Time=360000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 7 | Parking Full=0
Time=365000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 6 | Parking Full=0
Time=370000 | Reset=0 | Entry Sensor=0 | Exit Sensor=0 | Car Count= 6 | Parking Full=0
Time=380000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 6 | Parking Full=0
Time=385000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 5 | Parking Full=0
Time=390000 | Reset=0 | Entry Sensor=0 | Exit Sensor=0 | Car Count= 5 | Parking Full=0
Time=400000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 5 | Parking Full=0
Time=405000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 4 | Parking Full=0
Time=410000 | Reset=0 | Entry Sensor=0 | Exit Sensor=0 | Car Count= 4 | Parking Full=0
Time=420000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 4 | Parking Full=0
Time=425000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 3 | Parking Full=0
Time=430000 | Reset=0 | Entry Sensor=0 | Exit Sensor=0 | Car Count= 3 | Parking Full=0
Time=440000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 3 | Parking Full=0
Time=445000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 2 | Parking Full=0
Time=450000 | Reset=0 | Entry Sensor=0 | Exit Sensor=0 | Car Count= 2 | Parking Full=0
Time=460000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 2 | Parking Full=0
Time=465000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 1 | Parking Full=0
Time=470000 | Reset=0 | Entry Sensor=0 | Exit Sensor=0 | Car Count= 1 | Parking Full=0
Time=480000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 1 | Parking Full=0
Time=485000 | Reset=0 | Entry Sensor=0 | Exit Sensor=1 | Car Count= 0 | Parking Full=0
Time=490000 | Reset=0 | Entry Sensor=0 | Exit Sensor=0 | Car Count= 0 | Parking Full=0
$finish called at time : 540 ns : File "/home/itzzinfinity/Cozy Drive/100daysofRTL/day_096/project_1/project_1.srcs/sim_1/new/car_parking_system_tb.v" Line 61
